# Source: https://github.com/Wal33D/dtc-database
# Commit: 04c43d72e7db7197658b6f72fe582c5076d9eee8
# License: MIT
# Extracted: 2026-03-11T10:18:36Z
# Rows: 9390
B0081	AUDI	Wiring issues, Control module problems, A problem with the airbag
B1200	OTHER	Climate Control Pushbutton Circuit Failure
B1201	OTHER	Fuel Sender Circuit Failure
B1202	OTHER	Fuel Sender Circuit Open
B1203	OTHER	Fuel Sender Circuit Short To Battery
B1204	OTHER	Fuel Sender Circuit Short To Ground
B1205	OTHER	EIC Switch-1 Assembly Circuit Failure
B1206	OTHER	EIC Switch-1 Assembly Circuit Open
B1207	OTHER	EIC Switch-1 Assembly Circuit Short To Battery
B1208	OTHER	EIC Switch-1 Assembly Circuit Short To Ground
B1209	OTHER	EIC Switch-2 Assembly Circuit Failure
B1210	OTHER	EIC Switch-2 Assembly Circuit Open
B1211	OTHER	EIC Switch-2 Assembly Circuit Short To Battery
B1212	OTHER	EIC Switch-2 Assembly Circuit Short To Ground
B1213	OTHER	Anti-Theft Number of Programmed Keys Is Below Minimum
B1214	OTHER	Running Board Lamp Circuit Failure
B1215	OTHER	Running Board Lamp Circuit Short to Battery
B1216	OTHER	Emergency & Road Side Assistance Switch Circuit Short to Ground
B1217	OTHER	Horn Relay Coil Circuit Failure
B1218	OTHER	Horn Relay Coil Circuit Short to Vbatt
B1219	OTHER	Fuel Tank Pressure Sensor Circuit Failure
B1220	OTHER	Fuel Tank Pressure Sensor Circuit Open
B1222	OTHER	Fuel Temperature Sensor #1 Circuit Failure
B1223	OTHER	Fuel Temperature Sensor #1 Circuit Open
B1224	OTHER	Fuel Temperature Sensor #1 Circuit Short to Battery
B1225	OTHER	Fuel Temperature Sensor #1 Circuit Short to Ground
B1226	OTHER	Fuel Temperature Sensor #2 Circuit Failure
B1227	OTHER	Fuel Temperature Sensor #2 Circuit Open
B1228	OTHER	Fuel Temperature Sensor #2 Circuit Short to Battery
B1229	OTHER	Fuel Temperature Sensor #2 Circuit Short to Ground
B1231	OTHER	Longitudinal Acceleration Threshold Exceeded
B1232	OTHER	See Manufacturer
B1233	OTHER	Glass Break Sensor Failure
B1234	OTHER	Mirror Switch Invalid Code
B1235	OTHER	Window Feedback Failure
B1236	OTHER	Window Feedback Loss of Signal
B1237	OTHER	Window Feedback Out of Range
B1238	OTHER	Over Temperature Fault
B1239	OTHER	Air Flow Blend Door Driver Circuit Failure
B1240	OTHER	Wiper Washer Rear Pump Relay Circuit Failure
B1241	OTHER	Wiper Washer Rear Pump Relay Circuit Short to Battery
B1242	OTHER	Air Flow Recirculation Door Driver Circuit Failure
B1243	OTHER	Express Window Down Switch Circuit Short to Battery
B1244	OTHER	Wiper Rear Motor Run Relay Circuit Failure
B1245	OTHER	Wiper Rear Motor Run Relay Circuit Short to Battery
B1246	OTHER	Dim Panel Potentiometer Switch Circuit Failure
B1247	OTHER	Panel Dim Switch Circuit Open
B1248	OTHER	Passenger's Seatback Autoglide Rearward Switch Circuit Short to Ground
B1249	OTHER	Blend Door Failure
B1250	OTHER	Air Temperature Internal Sensor Circuit Failure
B1251	OTHER	Air Temperature Internal Sensor Circuit Open
B1252	OTHER	Air Temperature Internal Sensor Circuit Short To Battery
B1253	OTHER	Air Temperature Internal Sensor Circuit Short To Ground
B1254	OTHER	Air Temperature External Sensor Circuit Failure
B1255	OTHER	Air Temperature External Sensor Circuit Open
B1256	OTHER	Air Temperature External Sensor Circuit Short To Battery
B1257	OTHER	Air Temperature External Sensor Circuit Short To Ground
B1258	OTHER	Solar Radiation Sensor Circuit Failure
B1259	OTHER	Solar Radiation Sensor Circuit Open
B1260	OTHER	Solar Radiation Sensor Circuit Short To Battery
B1261	OTHER	Solar Radiation Sensor Circuit Short To Ground
B1262	OTHER	Servo Motor Defrost Circuit Failure
B1263	OTHER	Servo Motor Vent Circuit Failure
B1264	OTHER	Servo Motor Foot Circuit Failure
B1265	OTHER	Servo Motor Coolair Bypass Circuit Failure
B1266	OTHER	Servo Motor Airintake Left Circuit Failure
B1267	OTHER	Servo Motor Airintake Right Circuit Failure
B1268	OTHER	Servo Motor Potentiometer Defrost Circuit Failure
B1269	OTHER	Servo Motor Potentiometer Defrost Circuit Open
B1270	OTHER	Servo Motor Potentiometer Defrost Circuit Short To Battery
B1271	OTHER	Servo Motor Potentiometer Defrost Circuit Short To Ground
B1272	OTHER	Servo Motor Potentiometer Vent Circuit Failure
B1273	OTHER	Servo Motor Potentiometer Vent Circuit Open
B1274	OTHER	Servo Motor Potentiometer Vent Circuit Short To Battery
B1275	OTHER	Servo Motor Potentiometer Vent Circuit Short To Ground
B1276	OTHER	Servo Motor Potentiometer Foot Circuit Failure
B1277	OTHER	Servo Motor Potentiometer Foot Circuit Open
B1278	OTHER	Servo Motor Potentiometer Foot Circuit Short To Battery
B1279	OTHER	Servo Motor Potentiometer Foot Circuit Short To Ground
B1280	OTHER	Servo Motor Potentiometer Coolair Circuit Failure
B1281	OTHER	Servo Motor Potentiometer Coolair Circuit Open
B1282	OTHER	Servo Motor Potentiometer Coolair Circuit Short To Battery
B1283	OTHER	Servo Motor Potentiometer Coolair Circuit Short To Ground
B1284	OTHER	Servo Motor Potentiometer Airintake Left Circuit Failure
B1285	OTHER	Servo Motor Potentiometer Airintake Left Circuit Open
B1286	OTHER	Servo Motor Potentiometer Airintake Left Circuit Short To Battery
B1287	OTHER	Servo Motor Potentiometer Airintake Left Circuit Short To Ground
B1288	OTHER	Servo Motor Potentiometer Airintake Right Circuit Failure
B1289	OTHER	Servo Motor Potentiometer Airintake Right Circuit Open
B1290	OTHER	Servo Motor Potentiometer Airintake Right Circuit Short To Battery
B1291	OTHER	Servo Motor Potentiometer Airintake Right Circuit Short To Ground
B1292	OTHER	Battery Power Relay Circuit Failure
B1293	OTHER	Battery Power Relay Circuit Open
B1294	OTHER	Battery Power Relay Circuit Short To Battery
B1295	OTHER	Battery Power Relay Circuit Short To Ground
B1296	OTHER	Power Supply Sensor Circuit Failure
B1297	OTHER	Power Supply Sensor Circuit Open
B1298	OTHER	Power Supply Sensor Circuit Short To Battery
B1299	OTHER	Power Supply Sensor Circuit Short To Ground
B1300	OTHER	Power Door Lock Circuit Failure
B1301	OTHER	Power Door Lock Circuit Open
B1302	OTHER	Accessory Delay Relay Coil Circuit Failure
B1303	OTHER	Accessory Delay Relay Coil Circuit Open
B1304	OTHER	Accessory Delay Relay Coil Circuit Short To Battery
B1305	OTHER	Accessory Delay Relay Coil Circuit Short To Ground
B1306	OTHER	Oil Level Switch Circuit Open
B1307	OTHER	Oil Level Switch Circuit Short To Battery
B1308	OTHER	Oil Level Switch Circuit Short To Ground
B1309	OTHER	Power Door Lock Circuit Short To Ground
B1310	OTHER	Power Door Unlock Circuit Failure
B1311	OTHER	Power Door Unlock Circuit Open
B1312	OTHER	Lamp Headlamp Input Circuit Short To Battery
B1313	OTHER	Battery Saver Relay Coil Circuit Failure
B1314	OTHER	Battery Saver Relay Coil Circuit Open
B1315	OTHER	Battery Saver Relay Coil Circuit Short To Battery
B1316	OTHER	Battery Saver Relay Coil Circuit Short To Ground
B1317	OTHER	Battery Voltage High
B1318	OTHER	Battery Voltage Low
B1319	OTHER	Driver Door Ajar Circuit Failure
B1320	OTHER	Driver Door Ajar Circuit Open
B1321	OTHER	Driver Door Ajar Circuit Short To Battery
B1322	OTHER	Driver Door Ajar Circuit Short To Ground
B1323	OTHER	Door Ajar Lamp Circuit Failure
B1324	OTHER	Door Ajar Lamp Circuit Open
B1325	OTHER	Door Ajar Lamp Circuit Short To Battery
B1326	OTHER	Door Ajar Lamp Circuit Short To Ground
B1327	OTHER	Passenger Door Ajar Circuit Failure
B1328	OTHER	Passenger Door Ajar Circuit Open
B1329	OTHER	Passenger Door Ajar Circuit Short To Battery
B1330	OTHER	Passenger Door Ajar Circuit Short To Ground
B1331	OTHER	Decklid Ajar Rear Door Circuit Failure
B1332	OTHER	Decklid Ajar Rear Door Circuit Open
B1333	OTHER	Decklid Ajar Rear Door Circuit Short To Battery
B1334	OTHER	Decklid Ajar Rear Door Circuit Short To Ground
B1335	OTHER	Door Ajar RR Circuit Failure
